OBJECTID,ABBREV,PERIOD,EPOCH,FORMATION,GROUP_,TOT_THICK_M,COLOR,LITH1,LITH2,LITH3,LITH4,GENESIS1,GENESIS2,GENESIS3,GENESIS4,SHAPE.AREA,SHAPE.LEN
139,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand,shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.00414571101138202,0.252873586441841
73,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.477924767813299,9.70695156818484
180,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00104610003921946,0.165048236137844
167,Tg,Tertiary,Eocence and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, and cla","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00410100323114458,0.259810675029481
247,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,8.4962194889952e-5,0.035767865212513496
69,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.0007565339337469441,0.13962724065506402
21,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.00135575009972877,0.14499425060781398
108,Tm,Tertiary,Upper and Middle Tertiary,"Tertiary, Undivided", ,120, ,"sandstone or limestone, butte caprock", , , ,fluvial or lacustrine, , , ,0.000206771297386528,0.0665045276295269
178,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, and cla","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00010843478445129601,0.038554644724702804
68,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.00186761263708954,0.257636317594863
138,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, sandstone", , , ,marine shoreline and offshore, , , ,0.0011411759311959,0.142286149994302
248,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000107502124899504,0.0414543071226142
96,Ki,Cretaceous,Lower Cretaceous,Inyan Kara, ,135,"light gray, gray",fine to coarse sandstone; shale, , , ,"river, lake, nearshore marine", , , ,0.0024309677955561,0.416385989208515
199,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000443560577860736,0.0825155877844268
231,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000276556330066776,0.0880532395448318
226,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,0,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000398505541330008,0.0868661554127077
50,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.00708047925130973,0.341667351037445
126,Tb,Tertiary,Paleocene,Bullion Creek Formation, ,200,yellowish brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.0006261140113364479,0.140672467059794
37,Kh,Cretaceous,Upper Cretaceous,Hell Creek Foramtion, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.0417570710593225,1.06271639517799
149,Kp,Cretaceous,Upper Cretaceous,Pierre Formation, ,700,dark gray,shale, , , ,marine offshore, , , ,0.0015541185993194202,0.200246468880092
