OBJECTID,NAME,AREA_ACRES,AREA_SQMI,SHAPE.AREA,SHAPE.LEN
266,Clearwater,10735.6346815,16.77440071,0.00527091507478155,0.573214029817347
230,Ryder,7743.49312045,12.09920025,0.0037695561087659705,0.578689539874732
139,Horse Nose Butte,23303.5888592,36.41189957,0.011205093219764201,2.3369066196531
145,Glenburn,32813.937336,51.27180099,0.0161639906815894,1.3975389631067
95,Crosby,7310.00782829,11.4218998,0.0036246185663005,0.445269884660144
90,Ray,73998.2939925,115.62200165,0.036384612624273,1.47754446953638
252,Sundre,18012.5119527,28.14459991,0.00881167264587759,0.801716567827385
276,Spiritwood-Stutsman,111959.416669,174.93699646,0.0534437703947329,2.0744266079414997
108,Lucy,860.9522068,1.34524,0.00042521263333524797,0.11454025268991999
247,Manfred,7402.17321765,11.56589985,0.00359167898151529,0.331966469797288
237,Adrian,11775.61065,18.39940071,0.00559683101305432,0.542371007962365
69,Unnamed,1216.42964541,1.90067005,0.000574949891134863,0.100574479289669
106,Foothills South,722.92612007,1.1295700100000001,0.000357262945214484,0.0940021265965211
163,Turtle Lake,12436.7704037,19.43250084,0.0060113524864233,0.787052828005812
99,Unnamed,307.72600045,0.48082199999999997,0.00015220531700741601,0.046933642098429
37,Rocky Run,2710.0570893,4.23445988,0.00130986397806833,0.39990212530818997
86,Bennie Peer,10396.2545238,16.24410057,0.005026349613256911,1.6629302364062
47,Unnamed,1003.80752014,1.56844997,0.0004940349031063901,0.0822471636424701
58,Cottonwood Creek,616.66526262,0.9635389999999999,0.000303658433692624,0.268877246539089
149,Unnamed,5979.0027666,9.34218979,0.0029522618267450802,0.224988793264439
270,Sanish,12726.9320117,19.88579941,0.0061905707832846605,0.619469287023417
281,Cattail,8178.20086964,12.77840042,0.00385199637481599,0.38912504115592705
4,Sheldon,1811.35489174,2.83024001,0.0008602740326114761,0.12092866311483999
224,Glenview,4211.65456758,6.58070993,0.00201923295796075,0.286615390741427
238,LaMoure North,2501.4210364,3.90846992,0.00118589722806374,0.254215293177748
231,Spiritwood,209606.703037,327.51000977,0.10353815121275399,2.4834804850665497
205,Douglas,26499.2690561,41.40510178,0.0129041780511545,1.9694389468774598
249,Spiritwood-Sheyenne River,11481.2063818,17.93939972,0.00557607176762789,0.38029990771945604
50,Unnamed,11116.3872845,17.36940002,0.005503912064915741,0.485414236446161
94,Estevan,3225.47718616,5.03981018,0.00159994889729653,0.236735393949759
203,Crete,1366.32469922,2.13488007,0.0006449946338732271,0.114265623756567
49,Unnamed,11055.6485686,17.27449989,0.00547344815003717,0.366935034368295
213,Jamestown,6696.34402004,10.463000300000001,0.00319889976907748,0.603905940533387
80,Cherry Lake,15296.8727822,23.90139961,0.0074181567863727,0.344925755168667
123,Killdeer,55606.7108978,86.88549805,0.0266347159437105,4.55835443603828
74,Napoleon,19357.0105017,30.24530029,0.00918802350314978,0.559019469592518
226,Missouri River-Oahe,70971.3007392,110.89299774,0.0335657548436664,2.20919379194702
36,South Fessenden,974.41209431,1.52251995,0.000471688099195852,0.127871156151257
165,Weller Slough,7491.89870718,11.70610046,0.00361665857200954,0.503126708230917
63,Sand Prairie,28490.7144862,44.51670074,0.013532902166609401,0.6706953773491681
174,Shields,37757.5539529,58.99620056,0.0178284515695728,2.57025896596335
219,Edgemont,1024.93798106,1.60146999,0.0004941118343338131,0.0842698739586136
12,Inkster,10203.20595,15.94250011,0.0049860185969359495,0.390194913838238
29,Page,225519.477001,352.37399292,0.108424827836669,1.7278576484827999
22,Brightwood,42480.1126017,66.37519836,0.0199665571381748,0.833379751185648
93,Unnamed,1068.17697661,1.66902995,0.000529687337711376,0.09879434019114441
239,Montpelier,20353.258385,31.80200005,0.009689730088014211,0.954999325061895
59,Unnamed,3333.46551681,5.20853996,0.0016522626081039201,0.240155761891733
254,Sydney,1676.13461316,2.6189599,0.0007979330724459781,0.10532819579878999
245,Cut Bank Creek,15730.7398202,24.57929993,0.00773394264222844,0.569258950054318
167,Renner,14205.191983,22.19560051,0.0068510663769172,0.755559763183163
155,Unnamed,19958.1746177,31.18460083,0.00989775150070823,0.880195415814106
248,Heimdal,10080.171885,15.75030041,0.00489351432246786,0.7474920415148121
274,Spiritwood-Griggs,239622.68858,374.41000366,0.115546048996176,3.79835169683633
89,West Wildrose,10566.3620086,16.50989914,0.0052089053367120304,0.948685934173485
55,Skjermo Lake,26897.9250749,42.02799988,0.013329477976767,0.855064794585362
265,Shell Creek-East Branch,45018.1958821,70.34089661,0.0220855441255786,2.22579441934848
25,Hillsboro,21608.4010162,33.76309967,0.01042844536354,0.998650289892022
200,Tokio,28781.1390411,44.97050095,0.0140103251109755,0.608930959489847
115,Dry Fork Creek,2291.22379229,3.58003998,0.0011212602463099,0.3941656671033
78,James River,12366.7108061,19.32299995,0.00595581153748467,0.448547052282497
150,Unnamed,19612.8988798,30.64520073,0.00966583015093027,1.0599438170929898
129,Eastman,28603.0069601,44.69219971,0.0137877602646626,0.772185941315341
202,Spiritwood-Oakes,26599.8928083,41.56230164,0.0125370854819694,0.8432540072227751
5,Enderlin,2497.24699876,3.90194988,0.00118723681655075,0.161912120135854
273,Spiritwood - Grand Rapids,40079.6989229,62.62450027,0.0190230348412193,0.864612755655496
148,Unnamed,5999.82582342,9.37473011,0.0029638224692167003,0.38978914875985
209,Shealy,565.74472805,0.88397598,0.00027666107649716997,0.09738663343720991
156,Crane Creek,600.83406078,0.93880302,0.00029344504339053805,0.0789097691871709
277,Streeter,26539.3191684,41.46770096,0.012608999148411801,0.780913030988442
34,Pipestem Creek,15045.1213369,23.50799942,0.00725114376165371,1.3004173113062498
109,Clayton,943.74542163,1.47459996,0.000466319270257904,0.08097218303465831
221,Central Dakota,437185.028601,683.10198975,0.209264881394045,6.1282860987302
214,Spiritwood-Warwick,38257.8274696,59.777900700000004,0.018616196816124902,0.583900270778587
131,Karlsruhe,37400.4886531,58.43830109,0.018268592551737302,1.8037598893192899
217,Painted Woods Creek,21308.2284195,33.29410172,0.010254113499986301,1.80532358117983
81,Hofflund,9627.88093402,15.04360008,0.004709660365748391,0.42008018172285305
92,Little Muddy,57253.8864951,89.459198,0.028116972104499,1.81645186343479
154,Shell Valley,30169.2272729,47.13940048,0.01490396861614,1.01358495792832
119,Pleasant Lake - North Deep Channel,1156.69922789,1.80734003,0.00056799831630142,0.253085033603026
181,Beaver Creek,513.13548512,0.80177402,0.000242250918628636,0.0859941099271964
259,Unnamed,4085.29523686,6.38326979,0.00199282529649654,0.17417697606881302
51,Munich,23548.5208469,36.79460144,0.011636486727456699,0.6750145070191129
138,Ryder Ridge,2821.18760785,4.40811014,0.0013739913939970001,0.50822355064087
107,Cleary,397.43734749,0.620996,0.000196193649643542,0.06651568163586541
61,Yellowstone,29151.9625348,45.54990005,0.014181268692279701,0.621071879882979
199,Unnamed,2164.41943628,3.38191009,0.0010513181702753401,0.16790279956359
136,Snake Creek,19184.3937774,29.97559929,0.00931545199417888,0.5308118948337661
128,Juanita Lake,2596.56737577,4.05713987,0.00125565928711233,0.218788936903014
70,McIntosh,27785.4219382,43.41469955,0.0131197932282419,0.7516049079264899
255,Upper Buffalo Creek,4129.57327198,6.45245981,0.00196667953718537,0.205505534287305
190,Soo Channel,2941.9699568,4.59682989,0.0014009818619539899,0.230876526298348
1,Unnamed,1088.32814991,1.70051003,0.000540381584094677,0.147287847701575
97,Unnamed,1125.50682166,1.7586000000000002,0.0005574719641929571,0.13217731422840598
111,Columbus,39309.0196577,61.42029953,0.019479948718765003,2.7113077016533595
16,Wahpeton Buried Valley,9549.13075496,14.9204998,0.00451941382937675,0.564969855485328
176,Heart River,17016.035345,26.58760071,0.00810694704973871,1.46312551971708
193,Unnamed,1943.2658282,3.03635001,0.000921872786176781,0.16065268874851799
39,Keene,4486.37002834,7.00995016,0.0021828334241577,1.0392009682388799
196,Spiritwood-Berlin,16173.9462584,25.271799090000002,0.007659995166222981,0.919529857996491
256,Windsor,9114.29405755,14.24110031,0.004352856280676861,0.256339780064023
105,Foothills,868.91740774,1.35767996,0.000429585279401385,0.119028491562087
87,Tobacco Garden,35509.1593287,55.48310089,0.0172604756859415,2.38787624843163
14,Fordville,27666.8343776,43.22940063,0.0135589376886574,0.5314677693994739
27,Thompson,5261.63620086,8.22130966,0.00255492775649414,0.20591992239179702
3,Sheyenne Delta,322704.919633,504.22601318,0.152962676656515,1.52524763888487
168,Elm Creek,50516.0142252,78.9312973,0.0240352191440529,3.7022681097882195
116,Rugby Aquifer,1917.1558779,2.9955599299999998,0.0009414653205355641,0.143208812723622
28,Grand Forks,12475.4244384,19.49290085,0.00607399320888544,0.375464846391655
43,Oberon,4768.13049057,7.45020008,0.00232194559798064,0.334140839822145
133,Landa,1749.47666523,2.73356009,0.000868063788581461,0.26468736599343096
204,Lake Nettie,268140.299624,418.96899414,0.129683846977727,5.61962044692627
46,Starkweather,15279.2429267,23.87380028,0.00749893302528399,1.0267845496235999
208,Tolgen,8042.92731711,12.56709957,0.00392960127991493,0.7272294172199429
82,White Earth,7742.11856585,12.09710026,0.00379678582665601,1.41481130761904
124,Goodman Creek,13925.5129596,21.75860023,0.00670856317812295,1.51039875680488
243,Spiritwood-Devils Lake,214305.615628,334.85299683,0.104739402717054,3.14868910049071
234,Unnamed,786.6353916,1.22912002,0.00037346450194994,0.0728717743557683
103,Unnamed,1638.46310205,2.56010008,0.0008091468047281101,0.125905449967948
264,Shell Creek-Central,11861.3553647,18.53339958,0.005822887046853881,0.571418644523933
6,Bantel,609.53684623,0.9524009800000001,0.000289926626149814,0.10653782111415601
207,LaMoure,29749.4566275,46.48350143,0.0140630796482456,1.2960044529955999
79,McVille,38519.8065315,60.18719864,0.018647281548266798,2.61323175106299
262,Wishek,13784.8594251,21.53879929,0.006507828443172821,0.603549225734036
228,Fort Mandan,10784.1398801,16.85020065,0.00519436186178806,0.8526639711607981
